auteur;opinion;commentaire;note;date
KEVIN BLOT;J'ai reçu le mauvais colis.;Superbes recettes. Gain de temps assuré;5; 09 juin 2022
Line;Superbes recettes mais un peu cher;J utilise Hellofresh depuis plusieurs mois. Je n aime pas cuisiner mais avec Hellofresh c est top. Pas de courses à faire, le soir même fatiguée je sors mon sac avec tous les ingrédients et je suis la recette sans réfléchir. On mange bien, il y a beaucoup de légumes variés et j adore les épices, herbes fournis. J apprends à cuisiner. Merci.;1; 09 juin 2022
Anne;J utilise Hellofresh depuis plusieurs mois;La quantité de viande m'a semblée insuffisante.;4; 09 juin 2022
Anne-Sophie C;La quantité de viande m'a semblée…;VRAIMENT TOP DES RECETTES QUI ME CHANGE DE MES HABITUDES;5; 07 juin 2022
MATCHEF;Franchement c’est top;Franchement c’est top. Les recettes sont hypers simples à faire mais créatives. Les produits bons. On mange mieux depuis que l’on reçoit les colis, plus varié, plus sain. Les proportions sont parfaites.Bon rapport qualité prix.;3,5; 09 juin 2022
Marjorie DEYRE;C'est très bon mais pour une…;C'est très bon mais pour une consommation régulière j'aimerais avoir de temps en temps des réductions.;5; 09 juin 2022
BLANCHOUIN GERALDINE;Le principe est top;Le principe est top, un peu plus cher que les courses mais le point négative  c est le choix limités de plats chaque semaine. Le carnet de recettes est énorme mais chaque semaine, le choix est très limité;4; 09 juin 2022
Coutant Muriel;toujour aussi bon;Bon, frais, bien guidé. Par contre, 2 axes d'amélioration :1) ça fait beaucoup d'emballage, carton, plastique etc... Exemple : 2 sachets avec chacun 5 brins de persil, c'est pas très optimisé. Pourquoi ne pas les rouler dans un papier comme au marché ? Idem tomates cerise etc... Sachant qu'il y a déjà un gros carton pour la livraison. J'avoue que j'ai Qqs scrupules à participer à tout ce gaspillage d'emballage chaque semaine. Je pense que c'est l'une des raisons qui a la longue m'obligera à arrêter l'abonnement.2) les repas sont bien séparés dans des sachets, top. Par contre, ce serait sympa de savoir à quel repas correspond quel sachet, pour ne pas avoir à tout sortir du frigo pour voir le contenu.;4; 09 juin 2022
Julie Coulon;Belle expérience, culinaire et pratique, en dehors de la quantité d'emballage;Recettes facile à suivre, je découvre de nouveaux goûts et mange plus d'aliments variés.Très bonne surprise :);5; 09 juin 2022
Audrey;Simple, efficace et très bon !;Je me suis laissé tenté du fait des offres alléchantes de démarrage qui rendent les box abordables au niveau tarif . Les recettes sont bien et simple a faire . On peut choisir les recettes qu’on veut . Point très positif.Parcontre après les offres du début qui se sont terminés , le prix par semaine est assez significatif compte tenu des frais de port qu’il faut rajouter. Budget conséquent si on commande toutes les semaines .;4; 09 juin 2022
Roche;Pas mal;De bonnes recettes faciles à préparer.Cependant moins de choix ces derniers temps et moins de légumes verts...;5; 11 mai 2022
Patricia;De bonnes recettes faciles à préparer.;J'en ai testé quelques un et hello fresh est le meilleur, je trouve les recettes très bonnes et très variées, assez simple et rapide si on se concentre sur les Rapido, et les produits de très bonne qualité.;4; 09 juin 2022
Un fin gourlet;Le meilleur;Très bon. Produit .Recette conforme à la description et photo Grand choix de recettes Dommage que la corbeille de fruit ne soit pas plus importante en quantité Et que les fromages soient toujours les mêmes Un panier petit déjeuner serait top aussi Hâte cette semaine d’essayer le brunch .Je recommande en tout point hellofresh .;4; 09 juin 2022
Audrey Roger;Très bon;Dommage les dates sont limitées, viande et poisson déjà congelés, et pas assez de légumes trop de féculents. Mais néanmoins les recettes sont sympas;5; 09 juin 2022
Isabelle Bichard;Dommage les dates sont limitées;Juste PARFAIT! Je recommande vivement!;5; 09 juin 2022
WHITE Pearl;Juste PARFAIT;La semaine colis en vrac( crème fraîche explosé, sac craft déchiré, résultat tout par terre. Cette semaine livraison reporté. Cela commence à faire beaucoup. Un peu déçu 😞;4; 09 juin 2022
Sylvie ;La semaine colis en vrac( crème fraîche…;dommage que la limite de consommation est trop courte;5; 09 juin 2022
Louis CORRE;dommage que la limite de consommation…;Recettes originales, produits frais. A recommander;4; 09 juin 2022
didier cousin;Ses repas sont très bien préparé 👍;Super box Produits frais de qualité Choix des recettes Livraison très fiable;4; 08 juin 2022
Manon MAGNE;Recettes originales;Des repas copieux et gouteux avec des produits d'une qualité excellente, des produits francais, on ne peut que aimer cette box, le prix est raisonable.;4; 02 juin 2022
Sandrine;Super box;Beaucoup de choix de menus.Livrés dans les temps.Sacs bien complet il ne manque rien.Très bon même excellentContente d'être abonnée;5; 08 juin 2022
Laëticia;Qualité exceptionelle;tout est frais, box complète pour faire un repas , au topA titre d'info dans ma dernière box j'ai eu un petit problème (feta un peu moisi);5; 08 juin 2022
Thimonier;Très bons produits;Menus varié et bon, le seul problème aucun numéro de téléphone en cas de problème, je viens d'être débiter deux fois de la même sommes et je n'ai reçu qu'une seule box et je n'ai aucune explications. Pouvez-vous vous vérifier. Merci.;3,5; 08 juin 2022
Jeannette Hans;Menus varié et bon;"Recettes un peu redondantes dans les produits qui les composent et encore un poil trop cher. Mais excellentes découvertes; produits sympas et un peu nouveaux. Je recommande d'essayer";5; 08 juin 2022
Rémi O.;Recettes un peu redondantes dans les…;à fuir!! ils annulent la première commande gratuite sans raison et facturent la deuxième! du vol !!!!et vous pensez que je suis assez bête pour ne pas avoir contacté le service client????;4; 08 juin 2022
ISABELLE ZE;Trés pratique et facile à faire;Nous sommes ravis du concept. Nous avons des produits frais, des produits que nous ne connaissions pas. Il y a des saveurs, du goût dans les plats. C'est pratique C'est un voyage culinaire presque à chaque fois. Nous ne sommes pas des cuisiniers avertis mais nous arrivons à suivre les conseils de préparation mais cela nous semble parfois compliqué à comprendre les étapes.;4; 08 juin 2022
Bertille;à fuir!;Le concept est bien car on a des  idées de plats mais niveau quantité pour les ingrédients à revoir car ils sont peu pour 2 ou 3 personnes;4; 08 juin 2022
Christophe CAPPE;Nous sommes ravis du concept;Globalement satisfait. J'enlève une étoile car j'ai eu un problème avec le livreur qui a signalé qu'il était venu alors que ce n'est pas le cas et j'attendais chez moi. J'ai été obligé de prendre un jour de congés pour recevoir 2J plus tard ma commande. Aussi ca fait 2 fois qu'il manque le fromage italien! je remplace par du grullère  mais bon.Sinon ca reste quand même très chère. Je prend du coup qu'une semaine sur 2 et le reste du temps je prend les même ingrédients en supermarché pour faire les mêmes recettes et ca me revient bien moins chère.Je garde mon abonnement pour le moment mais je réfléchis a arrêter.;1; 07 juin 2022
Sarafine A;Le concept est bien car on a des  idées…;le colis est arrivé entier mais à l'intérieur les boîtes de burrata été casser il y avait du jus partout donc je suis moyennement convaincu peut-être qu'il faudrait revoir les conditionnements quand on doré je ne peux pas dire quoi que ce soit pour l'instant je n'ai pas encore goûté mais ça m'a l'air très frais;4; 07 juin 2022
client;Globalement satisfait;Service très pratique pour organiser des repas et découvrir de nouvelles recettes.  Très bonne qualité des produits.;2; 07 juin 2022
Anne;le colis est arrivé entier mais à…;Toutes les livraisons et menus ont été préparés avec exactitude. Les recettes sont bien expliquées et faciles à mettre en oeuvre.Pas de perte ni de produit ni d'emballage!Les portions sont copieuses je fais facilement 3 parts avec ce qui est livré pour 2 une raison de plus de commander!Cela correspond exactement à mon besoin pour varier les menus sans me casser la tête, Hellofresh y  pense pour vous.;3; 07 juin 2022
Hélène;Service très pratique pour s organiser…;Très bons produits. Ne regrette pas du tout mes commandes avec des plats délicieux.;2; 07 juin 2022
Claire BUISSON;Toutes les livraisons et menus ont été…;J adore, car étant à court d idée régulièrement pour préparer le dîner   hellofresh me facilite la tâche,  plus besoin de s inquiéter pour les courses   tout est dans le colis. Un seul bémol,  un jour férié et la commande est décalée, résultat 3 jours de retard en étant prévenu le jour même.  Hormis cela, je recommande fortement;5; 07 juin 2022
Julie Lebrun Lopez;Très bons produits;Contente de la prestation Les livraisons se passent sans soucis c’est parfait aliments frais et qui se gardent Le seul bémol c’est que certaines semaines  je ne trouve pas 3 plats qui me conviennent ou me plaisent donc je ne commande pas mais ça dépanne bien;5; 07 juin 2022
gagnant(e);J adore;Ravi qu'HelloFresh me fasse découvrir de nouvelles recettes chaque semaine. Elles sont simples et pas trop longues à exécuter.Le seul reproche (non négligeable) que je ferais est lié à la quantité de viande ou poisson trop faible par personnes (100g seulement). Je suis obligé de racheter un complément pour nourrir ma famille (nous sommes plutôt aux alentours de 150g à 200g par personnes);5; 07 juin 2022
Béatrice  Picchiarelli;Contente de la prestation;De bons produits, des recettes variées, un gain de temps. Je ne me demande plus ce que je fais faire à manger. Possibilité d'arrêter à tout moment. Je suis ravie d'avoir découvert Hello Fresh. Petit Bémol, pour des bons mangeurs il faut prévoir plus de quantité. Nous sommes 2 et je commande pour 3.;4; 07 juin 2022
Laurent  Chebassier;Ravi qu'HelloFresh me fasse découvrir…;Chaque recette sont vraiment excellente.Des menu élaborés et équilibrés. Des idées de recettes qui ne nous viennent à l'esprit. Ingrédients frais ,c'est vraiment un régal, de plus, pas besoin de traverser tous les rayons du magasin pour trouver Chaque Ingrédients.;4; 07 juin 2022
Celine  C;une bonne découverte;Les quantités pour les recettes sont petites donc pour 3 personnes du coup prendre pour 4 et parfois les ingrédients sont envoyés en grande quantité pour peu de quantités du coup on perd un peu de temps pour compter;4; 07 juin 2022
Stéphane  Saint-rémy;Chaque recette sont vraiment…;Des recettes savoureuses, des produits de qualité. Une petite réserve pour les salades qui sont malmenées dans les colis et s'abîment rapidement.;5; 07 juin 2022
Nathacha Fauvarque;Première fois;Jamais déçu par les recettes variées, c'est très bon et facile à réaliser. Je recommande.;5; 07 juin 2022
Melanie LOCHET;menu parfois pas toujours diversifié et…;menu parfois pas toujours diversifié et la part de viande et poisson est un peu juste notamment pour un adulte homme par contre menu très simple et les aliments sont toujours savoureux;3,5; 07 juin 2022
Emma;J'aime beaucoup !;Recettes bien équilibrées et originales  et  copieuses;4; 07 juin 2022
Anita  RACAMIER;Recettes bien équilibrées et originales…;Je me trouve un peu trop abonné aux recettes semblables les unes aux autres, pourriez-vous me proposer plus de variétés, sortir du poulet pour d'autre viandes portions tels que côtes porcs,agneaux, veaux. Quand sera-ce la mode pour les tripes de Caen, les paellas et autres recettes de plats-repas complets?Question gustatif et quantité en qualité c'est impécable.Quel l'impcte sur ma note si je dépasseles  5 plats dans la commande et comment puis-je le calculer.;5; 07 juin 2022
Robert Vachot;Je me trouve un peu trop abonné aux…;cela fait plusieurs recettes où il me manque les ingrédients principaux dans la box! et les recettes sont du coup irréalisables! de plus, il y a toujours des avantages ou réductions pour les nouveaux adhérents mais aucune récompense pour la fidélité...37 box commandées et pas une seule récompense si ce n'est des box à offrir!par contre, bonnes idées recettes et plats copieuxdommage;5; 07 juin 2022
fanny;manque ingrédients principaux;Je trouve le système de livraison pas suffisamment flexible, il ont tendance à ne pas livrer et je n' arrive pas a les contacter déçu;5; 06 juin 2022
Dkdkek;Je trouve le système de livraison pas…;Des plats auxquels je n'aurais pas penser Des produits fraisUne très bonne  expérience;2; 06 juin 2022
GENEVIEVE DENIZET;Des plats auxquels je n'aurais pas…;Pratique, produit correct. Il manque quelque fois des ingrédients, mais on est compense.;3; 06 juin 2022
Dominique Pichereau;Pratique;Très pratique et toutes les recettes sont délicieuses.;5; 06 juin 2022
PATRICIA LAVIGNE;Très pratique et toutes les recettes…;Ensemble satisfaisant la recette avec le fenouil m'a laissée indifférente,les 2 autres sont très bonnes;4; 06 juin 2022
Madame  Leblanc;Ensemble satisfaisant la recette avec…;"Je suis ravie d'avoir tenté l'aventure avec hellofresh. Les quantités réalisées pour le moment permettent de faire plus que la quantité nécessaire ce qui permet d'avoir des restes pour le boulot par exemple.Les recettes sont top, ça permet de changer nos habitudes et de ne plus se demander ""qu'est ce qu'on fait à manger ?""Je comprends le prix de la prestation puisque c'est plus qu'une livraison d'ingrédients, il y a la recette, le service client etc mais sans la réduction, ça peut paraître cher pour certaines familles comme la mienne. A voir, les deux prochains mois, comment on gère !";4; 06 juin 2022
Marion Coco;Je suis ravie d'avoir tenté l'aventure…;Très bonnes recettes.Première box pas  très intéressante;4; 06 juin 2022
Marie-Noëlle Potot;Très bonnes recettes.;Très bon produits frais et recette variées. Cependant ... la derniere livraison n'etait pas très correct : Boite de conserve écrasé et ouverte Produits déposé en dehors des sacs donc mélanger Absence du carton de protection sur ke dessus du colis .C'est dommage car un sans faute jusqu'à la derniere livraison d'où cette mauvaise notes .;5; 30 mai 2022
Damien Legrand;Ensemble des produits exellent et frais cependant la livraison reste à revoir;Les box sont bien préparées, les repas sont bons, avec des recettes originales.L'appli gagnerait à être plus fonctionnelle avec un interface plus pratique, et les créneaux de livraisons sont trop longs, ou trop chers quand on les réduit.;5; 06 juin 2022
Amélie Lefort;Bon rapport qualité-prix;On reçoit ses courses avec les recettes. Recettes variées, gain de temps et surtout d'excellents repas chaque jour.;3; 06 juin 2022
Laurie;Excellent service;Hello Fresh, c'est savoureux, c'est varié, ce sont de bons produits, pour des prix raisonnables. Seul hic, la qualité du service de livraison est en baisse... (livraisons en retard, suivi de livraison indisponible, etc) Inconvénient cependant largement compensé par les qualités du reste.;4; 06 juin 2022
Jean-Eric;Hello Fresh, je recommande;Très bons produits et recettes...mais ça reste trop cher pour moi sans offre promo;4; 06 juin 2022
Delphine Gondard;Très bons produits et recettes...mais…;Toujours aussi bon et original. On se régale à chaque fois;4; 06 juin 2022
DANKOVICS STEPHANE;Toujours aussi bon et original;Produits top Facile et rapide à préparer Et au final trop bon;4; 06 juin 2022
lacoste;Produits top;MERCI D ETRE LA , JUSTE UNE CHOSE COMMENT VARIER LES PROPOSITIONS SUR L APPLICATION ?FAUT IL CHANGER LES PARAMETTRES D ABONNEMENT, DE PASSER DE FAMILIAL A AUTRE CHOSE PAR EXEMPLE.....SINON TOUT EST TOP;5; 06 juin 2022
Mylene  glaize;Ses très  bon et simples;"j'ai eu l'occasion de tester grâce à un code promo que j'ai vu sur Instagram et je me suis dis pourquoi pas.j'avais déjà été intéressée il y a longtemps mais je trouvais le prix trop élevé et on ne pouvait pas voir les recettes en plus... car il faut payer d'abord.Avec l'offre je paye 19,95€ la box ( au lieu de 39€) de 3 repas pour 2 personnes.Frais de port offert (5,95€).j'ai reçu ma première box hier et j'ai encore 2 box à ce tarif il me semble.Côté positif : c'est vraiment très bon, les recettes sont faciles et rapide ( j'ai surtout choisis des ""rapido"" et familiale et cuisine du monde). Chronofresh à livré dans le créneau annoncé, un samedi entre 8h et 13h au départ puis j'ai reçu un SMS le samedi matin qui précisait 11h25-12h25;à  11h30,le livreur était là. Le tout est bien frais et bien emballé et séparé par recette. Le seul hic c'est qu'il manquait un citron, mais j'en avais donc pas un drame..et je l'ai signaler facilement et rapidement via le site et j'ai reçu un bon de réduction.Côté du négatif : je suis célibataire. Le prix n'est déjà pas très attractif et même si je suis très tenté de continuer, je me retrouve avec une bonne quantité de nourriture et donc 3 repas ça me fait la semaine et finalement jdois manger la même chose plusieurs fois...Je me demande si jpeux commander toute les 2-3 semaine à la place ?C'est pour l'instant une belle expérience en tt cas. D'habitude je me demande ce que je vais manger/acheter/commander ou alors j'ai la flemme. La je cours presque à ma cuisine car j'ai hâte de voir quelle saveur je vais découvrir.Si je n'ai pas de problème de livraison, même si c'est pas régulier, je me vois bien commander de temps en temps pour cuisiner avec mon frère ou entre copines.";3,5; 06 juin 2022
Céline;Une belle expérience;Je vien de recevoir mon premier colis mais j aime déjà le concept je fait le première recette se soir ...livraison dans les temps avec un livreur extra merci a lui d etre monté me ramener mes colis jusqu'au 4 ème il a etait juste génial;5; 04 juin 2022
Christelle Bareche;Je vien de recevoir mon premier colis…;Je vais continuer avec vous mais tout dépend de mon activité ...et je recommande...;4; 05 juin 2022
Christine Cazenave;Je vais continuer avec vous mais tout…;Voilà des mois que je passe par hello fresh. Compliqué de trouver des plats qui s’adaptent aux enfants et souvent très très long en cuisine. Plus de plat « rapido » et famille serait bienvenus;5; 05 juin 2022
Céline Colpaert;Voilà des mois que je passe par hello…;Très satisfaite pour la première fois , c'était bon et bien frais , je recommande 😊;5; 05 juin 2022
Elodie Vadeleau;Très satisfaite pour la première fois;Première belle expérience, les menus sont conformes au descriptif et délicieux. Toutefois, nous hésitons à poursuivre. il manque beaucoup d'infos sur l'origine des produits. L'étiquetage est très imprécis sur l'identité des producteurs. Nous souhaitons plus de transparence. Je tiens à ajouter que du basilic du Kenya (seule, l'origine du pays est indiquée) me paraît peu local contrairement à ce qui est revendiqué par HelloFresh (local, faible impact CO2 etc) . De plus, nous nous attendions à plus de produits bio. Et la DLC est très courte, il faut tout cuisiner aussitôt (pas la possibilité de les cuisiner tous les deux jours par exemple, donc il faut être prêt à se mettre au fourneau chaque soir).;3; 05 juin 2022
JULIEN BAZZALI;Première bonne expérience mais ...;Les produits sont frais et facile à cuisiner. Livraison correcte. Seul petit bémol pour moi, certains ingrédients comme la crème légère que je ne trouve pas bonne parce-ce que sucrée et qui dénature la recette. Cela ne m'empêchera pas de commander à l'avenir.;5; 05 juin 2022
DAVID;Top je recommande;Fraîcheur des produits. Recettes avec pas à pas sur fiche ou  sur l'application. Temps de préparation conforme en étant bien organisé.;3; 05 juin 2022
Chantal;Les produits sont frais et facile à…;Un oubli d’ingrédient pour le première recette donc embêtant déjà pour commencer. Il faut trop de vaisselle pour certaines recettes car beaucoup d’étapes mais c’est bon et varié. Il faut avoir des ingrédients à la maison comme huile olive, miel, vinaigre de vin … et ça n’est pas indiqué avant;5; 05 juin 2022
Sony  Dejaeghere;Très bien pour le moment;C’est un très bon concept, pratique. Le seul bémol c’est que les produits ont une DLC vraiment courte, ce qui ne permet pas de les cuisiner au delà de 3-4 j après la réception de la box.De plus, à plusieurs reprises j’ai dû jeter la viande/poisson sous vide car l’odeur était insupportable. J’ai déjà fait remonter l’information, mais à part un bon d’achat pour me dédommager, le service client ne m’a pas contacté pour trouver une vraie solution. Cette semaine encore, j’ai jeté mes filets de poulets et j’en ai acheté d’autres pour effectuer ma recette. Pas très économique tout ça !!!;4; 05 juin 2022
Bab;Fraîcheur des produits;Tout est parfait. Livraison respecté, livreur aimable. Tout les ingrédients sont présent.;5; 05 juin 2022
NO EL;Un oubli d’ingrédient pour le première…;J'ai connu hellofresh grâce à une amie qui m'a parrainé. L'application de HelloFresh est très compréhensible on s'y retrouve très bien.;5; 05 juin 2022
Aida DUARTE;C’est un très bon concept;La box correspond à mes choix, mais 2 oeufs sur 4 étaient cassés. Un peu périlleux de livrer des oeufs frais... Et le livreur à chaque fois me fait sortir sur le trottoir pour la récupérer et je dois ensuite franchir plusieurs portes avec ce grand carton dans les bras !!! Ce point pourrait être amélioré je pense.Sinon les portions sont en général plutôt copieuses. Merci !;3; 05 juin 2022
hasselot;Tout est parfait;J'adore le concept et je suis très rarement déçue donc très bien;2; 04 juin 2022
Melanie Labaume;J'ai connu hellofresh grâce à une amie…;Recettes sympas mais produits provenant de loin, sans beaucoup de goût, salades pas fraîches;5; 28 mai 2022
C. TRADORI;La box correspond à mes choix;Recettes extra, renouvellement et variétés des plats proposés au top, facilité de commande et de modification sur le site appréciées.Petit bémol : la qualité des légumes n'est pas toujours au rendez-vous (produits abîmés), des pb dans la livraison (un colis réceptionné à moitié congelé il y a 2 semaines, et le colis recu le samedi au lieu du jeudi cette semaine). Dommage parce que ces pb logistiques gâchent un peu le concept. Mais bon la balance reste en faveur d'une satisfaction globale.;5; 04 juin 2022
delpit yannick;Essayez c'est l'adopté;Que dire à part waouh...pour les novices en cuisine une fiche détaillée et pour ceux en manque d inspiration une petite pépite . Des produits généreux et qualité au top. Merci hello fresh;4; 04 juin 2022
LA JOCONDE;recettes faciles à mettre en oeuvre…;recettes faciles à mettre en oeuvre mais répétitives.quantité suffisante 9 fois sur 10pas assez de choix si on ne souhaite ni poisson, ni végétarienmenus en supplément trop cher à la portion;3,5; 04 juin 2022
Aurelie;Probleme sur la livraison avec le partenaire;Produits de bonne qualité, réduit la charge mentale, le seul hic de mon expérience est la livraison -> probleme avec le partenaire Chronofresh qui ne lit pas les instructions de livraison et ce sur 3 commandes, du coup ont sonné chez mon voisin absent au lieu de chez moi, resultat.... colis a aller chercher;3; 04 juin 2022
Betty A.;Ravie de l'expérience;Un concept pratique pour qui prend le temps de cuisiner. J'aime cette facilité qu' offre Hello fresh de pouvoir anticiper mes menus sans me casser la tête et m' éviter les éternels aller-retour au supermarché.  Un grand bravo pour ces produits de qualité , les fiches cuisine.;5; 04 juin 2022
Murielle et KOLB;Je suis ravie de mes commandes de…;Je suis ravie de mes commandes de produits super frais recettes très  bien expliqué Je ne recommanderais pas la corbeille de fruits très déçu  du produit fruits très petits et beaucoup trop mur j ai du jeter la moitié;4; 04 juin 2022
christelle;Très bonne recette et produits;Très bonne recette et produits! Tout est très bon. Je suis conquise!Les légumes et les protéines sont très bon. Cela m'a motivé à reprendre la cuisine. La diversité des recettes est très bien, cela me convient très bien.La livraison est respecté aucun produit ne manque.Les quantités sont respectées et cela convient à des gourmands.Par contre certains produits ne sont pas locaux. Hier j'ai eu du basilic qui vient d'allemagne. Je trouve cela loin. Il y a également beaucoup d'embalage plastique. Cela pourrait être avec des produits en carton ou tissu et les renvoyer à hello fresh?;5; 04 juin 2022
Pletan;A recommander;Très satisfait des recettes et livraison mais l'application est compliquée à utiliser ,difficile pour changer les menus..une grande perte de temps!;4; 04 juin 2022
Cecile Dumasdelage;Toutes les recettes reçu on été bonne…;Toutes les recettes reçu on été bonne sauf une donc je n ai pas aimé le mélange de purée de carottes et lentilles corail;3; 04 juin 2022
Christine Danna;Toujours satisfait merci;Produits frais. Recettes faciles à réaliser avec des photos pour nous aider;5; 04 juin 2022
Jessica;Parfait;Bonjour  je donne  1 étoile car 3 fois  sur 4 les colis  sont balance devant  le portail ,les cartons  a moitié  ouverts  tout est melange ,les sauces  percé  les légumes  de fois  sont casé  (carottes, concombre, courgettes),au écrasé  ,les barquettes de viande  écrasé  .Par contre  les recettes  tres bonnes. Cordialement  Theodora.;5; 04 juin 2022
Montmartin  Patrick;Trop de poulet trop de poisson;Une belle découverte. Les produits sont toujours frais et excellents. Le concept permet de tester de nouveau légumes, epices , condiments , sauces, mode de cuisson. Certaines recettes font partie des favorites de la maison maintenant . Comparativement à un concurrent, pas de gâchis d emballage . Enfin très belle présentation de la recette Évidemment tout cela a un prix , assez élevé , qui ne permet que de petites folies de temps en temps;5; 04 juin 2022
Thé;Bonjour  je donne  1 étoile car 3 fois …;menus équilibrés, vite préparés avec des bons ingredients;3; 04 juin 2022
ETCHAR Clothilde;Une belle découverte;Recettes hyper originale, un petit hic, mes tomates n'étaient pas mures,;1; 04 juin 2022
RAQUIN Michele;menus équilibrés;De belles idées recettes, de nouvelles saveurs, un dépaysement total, des doses vraiment adaptés. Nous sommes ravis de faire partie de la team Hellofresh.;4; 04 juin 2022
Prisca Pajaniandy;Recettes hyper originale;J'aime ce concept mais parfois les mêmes produits pour plein de recettes... En ce moment énormément de poivrons....on finit par se lasser.;5; 04 juin 2022
Laura Arcangeli;De belles idées recettes;HelloFresh est un très bon service de livraison de produits frais accompagnés de recettes pour les cuisiner. Le choix du menu chaque semaine se fait aisément sur leur site et permet d'accommoder tous les régimes alimentaires (faible en calories, végétarien, familial...). Le large choix de recettes permet de ne pas se retrouver avec des ingrédients que l'on n'aime pas, et permet aussi de ne pas se retrouver avec les mêmes recettes d'une semaine à l'autre. En 3 mois, je n'ai retrouvé qu'une ou deux recettes similaires proposées dans le menu. L'utilisation de produits de saison et avant tout d'origine française, en plus d'un envoi par colis dont les émissions en CO2 sont compensées, fait de cette initiative une très bonne alternative pour innover dans son expérience culinaire à la maison !;4; 04 juin 2022
Mme katy hurblain;J'aime ce concept mais parfois les…;"Très bien, mais sans l'option ""suspendre jusqu'à nouvel ordre"" ça a un côté vente forcée désagréable.";5; 03 juin 2022
Ronan;Une initiative innovante et écologique pour vos repas;Excellent !Un très bon choix de recettes (que l'on peut modifier, c'est très appréciable) de très bons produits, des saveurs variées... Un vrai plaisir à cuisiner et déguster !;4; 03 juin 2022
Gilles Wagner;Abonnement;Il fait payer avant de pouvoir regarder les box.Je trouve ça nul car au final pas énormément de choix.J ai bénéfice d une carte cadeaux de 90€ mais en faite c est échelonné sur plusieurs box.Donc une belle arnaque!!!;5; 03 juin 2022
annie;produits frais de qualité peut etre un…;produits frais de qualité peut etre un peu juste sur la quantité, recettes avec photos en pas à pas c'est top pour les apprentis cuisiniers;3,5; 03 juin 2022
Cyril Ottemer;J’adore très simple de faire à manger…;J’adore très simple de faire à manger avec les recettes bien détaillées plus la peine de ce casser la tête pour faire à manger merci HelloFresh;4; 03 juin 2022
baudoin aude;Super bon facile et bien expliqué.;Super bon facile et bien expliqué.Je met 1 étoile en moins car colis n'arrive jamais a l'heure indiqué;5; 03 juin 2022
Marine;Un peu déçue de cette première box..;Un peu déçue de cette première box... retard de livraison+1 recette manquante (avoir crédité mais non cumulable avec un bon de réduction !)+ légumes de qualité moyenne...;4; 03 juin 2022
Nance;Totalement conquise par le concept et…;Totalement conquise par le concept et la qualité des produits!;2; 25 mai 2022
Aurelie Schiltz;Super recettes on s'est encore régalé…;Super recettes on s'est encore régalé cette semaine !;5; 02 juin 2022
Claire ROUGETTE;Quantités toujours parfaites;Quantités toujours parfaitesRecettes faciles et originalesÉquilibre et recette plutôt bonnesLivraison toujours à l'heure;5; 02 juin 2022
fanny langlet;La palette proposée en termes de plat…;La palette proposée en termes de plat est vraiment sympa, il y en a pour tous les goûts.Les recettes sont simples, tous les ingrédients y sont et les quantités adaptées aux attentes.;5; 02 juin 2022
Mireille COMBES;avec Hello Fresh la vie est meilleure et plus simple;avec Hello Fresh : bye bye la routine et adieu à la charge mentale pour l'organisation des repas !;5; 02 juin 2022
Pascaline Asseman;C’est très pratique et très bon;C’est très pratique et très bon. On a l’impression d’être bonne cuisinière, en plus, avec des produits que nous n’avons pas forcément l’habitude.c’est top !;5; 02 juin 2022
Anna L.;j'aime beaucoup quand même;"Les plus: la diversité des recettes, le choix du nombre de portions, le montant correct, la livraison rapide, des menus variés et équilibrés.Les moins: l'abonnement à la semaine (il faut penser à mettre en pause), pas assez de légumes ou fruits (mais beaucoup de salade).Hello Fresh nous a permis de varier notre livre de recettes et de découvrir des saveurs que je n'aurai pas tenté toute seule. La plupart des recettes ont conquis les enfants. J'aimerais un peu plus de légumes ou de plats avec uniquement des légumes mais les recettes sont déjà bien équilibrées. Lorsque je veux me faire une cure de légumes, je pause mon abonnement pendant quelques semaines.Il manque peut-être un filtre aux allergènes.Hello Fresh m'a beaucoup aidé à un moment où je ne pouvais plus entendre ""qu'est-ce qu'on mange ce soir?"", ""qu'est-ce que j'achète comme courses?"". Avec Hello Fresh je ne me pose plus la question et ça c'est très agréable.";5; 02 juin 2022
Jean François Aignan;Produits de qualité;Produits de qualité, variés, équilibré, suffisamment copieux et relativement facile à cuisiner. Un vrai plaisir de cuisiner de bon petits plats, les herbes fraîches , les champignons, les fromages, les poissons, les viandes et les recettes sont un bonheur gustatif;4; 02 juin 2022
BENNAB;Produits extrêmement frais;Produits extrêmement frais, on réapprend à cuisiner avec des produits de saison. Recettes validées par toute la famille et il en reste toujours pour un prochain repas tellement c'est copieux !;5; 02 juin 2022
Nadine Depaepe;Très contente des recettes des…;Très contente des recettes des produits. ET aussi les ďelais horaires et la livraison TOP.;5; 02 juin 2022
claire holyda;Super concept;Super concept, bémol sur l'envoi des oeufs (3/4 réceptionnés cassés lors de ma dernière box)Aussi je trouve que notre fidélité n'est pas très récompensée (1 plaquette de caramel reçue gratuitement au début seulement) et le parrainage ne suffit pas.Bonne continuation!;5; 02 juin 2022
